Feature;LIDC;KITS;LITS;NSCLC;BRATS
wavelet-LH_gldm_DependenceVariance;0.9777480428426939;0.9969380554986247;0.9362298435873341;0.9906106341550222;0.9978900680548306
wavelet-HL_glrlm_RunLengthNonUniformityNormalized;0.9718057469061874;0.9968657699353427;0.9415550447384864;0.9905313741784021;0.997130264435582
wavelet-LH_glcm_Idm;0.9715955297861503;0.9979836712036032;0.9521787077331013;0.9904917002077296;0.9986478053289722
wavelet-LH_glszm_LargeAreaEmphasis;0.9773219210312949;0.999878910376004;0.9712805087976575;0.9940262500078743;0.9902511030867022
wavelet-LL_gldm_LargeDependenceEmphasis;0.9901126947351748;0.9985667241475091;0.9568849184088051;0.9894827654364627;0.9990123313688387
original_gldm_LargeDependenceEmphasis;0.9874851917286371;0.9985143761930191;0.9612442002361693;0.9900343000668841;0.9992057277364782
wavelet-LH_glcm_Id;0.9725501023491252;0.9978099501596719;0.9557589084184284;0.9900289724519156;0.9985785953183003
wavelet-LH_glszm_ZonePercentage;0.9706743866958238;0.9973692521752295;0.9426454069562442;0.9898121802035165;0.9976857226379425
wavelet-HH_glrlm_RunPercentage;0.9814840509790088;0.9984098784017063;0.9688376338765138;0.9897022918090046;0.9987793753548495
wavelet-LL_glcm_Id;0.9720624307156817;0.9965057638946315;0.9566878526474567;0.9896960358010348;0.9977671421801129
wavelet-HL_gldm_DependenceVariance;0.9824384576437226;0.9954893278014807;0.937296678268476;0.9896198365758551;0.9983368836096747
wavelet-HH_gldm_LargeDependenceEmphasis;0.982190879028356;0.9989627794568412;0.9746533604957912;0.9893780248425268;0.9989433156959485
wavelet-LL_glrlm_RunVariance;0.9893758816383373;0.9986240254905303;0.9610850156162005;0.9846670368864583;0.9950489193672412
wavelet-HL_glszm_ZonePercentage;0.9684817824412479;0.9964226971989839;0.9450584840301429;0.9893729292650648;0.9973860245563844
wavelet-HL_glcm_Idm;0.9709450861984837;0.9947060140128945;0.9563806018112269;0.989224265484179;0.9981598214504661
original_glrlm_RunLengthNonUniformityNormalized;0.9676837446967408;0.996869619692302;0.9485036876352191;0.9892017306829067;0.9976327248807895
wavelet-LL_glcm_InverseVariance;0.9569865317069135;0.9939356015951526;0.9353365944957894;0.989124937157373;0.9964246863031891
wavelet-LL_gldm_SmallDependenceEmphasis;0.9636384339379238;0.9939715752474663;0.9104045431484294;0.9890743278153539;0.9960981973362761
original_glrlm_ShortRunEmphasis;0.9647221379330913;0.9967881183889621;0.9424376064784927;0.9890120549520922;0.9970424707936207
original_glszm_ZonePercentage;0.9662725902568674;0.995655448672491;0.9476454639624841;0.9889614209830547;0.9974939497594286
original_glrlm_RunVariance;0.9886135596359803;0.9983985741547283;0.9621746791505239;0.986351856037373;0.993964407710548
wavelet-HL_glcm_Id;0.9708396924909422;0.994885148811576;0.9572126258861056;0.988558495465715;0.9979948737340714
wavelet-HL_glszm_ZoneVariance;0.9702692234568829;0.9984945769758211;0.9728431741125767;0.9905308125040189;0.9882610200819295
wavelet-HH_glcm_Idm;0.9815568416892613;0.9968140538229758;0.9746082998652361;0.9880047019937884;0.9988508568226804
original_glcm_Idm;0.9650213673767682;0.9970441107789448;0.9576499863836041;0.98785023095841;0.9983656273535495
wavelet-LL_glrlm_LongRunEmphasis;0.9850384021805013;0.9982917784740547;0.9513621631747025;0.9878058960859581;0.9945770234721751
wavelet-HH_glcm_Id;0.981118254255221;0.9964554948577851;0.9737908661348287;0.9877082258521165;0.9987416205348775
wavelet-HH_glrlm_ShortRunEmphasis;0.9748406108024861;0.9978971803307423;0.961128495715927;0.9876010123467197;0.9983960583127891
wavelet-HL_glszm_LargeAreaEmphasis;0.9671621043362473;0.9983688696432104;0.9689709559990021;0.9905058915517619;0.9875949289611949
wavelet-LH_firstorder_Uniformity;0.8385921949944048;0.9934776821701439;0.8976581657381826;0.9875729324607471;0.9983827271859544
wavelet-LL_glszm_ZoneVariance;0.9741733603828935;0.9993994231684193;0.9675874794279073;0.9962261622012094;0.9875448372909492
original_glrlm_LongRunEmphasis;0.9825101514164782;0.9981098755040212;0.9573236163160568;0.98695023260418;0.9936627764035844
wavelet-LL_firstorder_RootMeanSquared;0.9844697301987062;0.99870381675084;0.9725984619666599;0.9867760714320458;0.9990587772272528
original_glcm_Id;0.9647339083312618;0.9968412492376009;0.9595172527877456;0.9865584621196987;0.9981760886303603
wavelet-HH_firstorder_MeanAbsoluteDeviation;0.978342023169626;0.9987662983212895;0.9807400040854775;0.9865084362672617;0.9950324803738548
original_glszm_ZoneVariance;0.9728849562461908;0.9997614409557609;0.9805942427789045;0.9963227808254873;0.9863884794350988
wavelet-HH_firstorder_Uniformity;0.9520689814708292;0.9963304832327815;0.9625646401506022;0.9860864779617462;0.9987025959307605
wavelet-LL_glszm_LargeAreaEmphasis;0.9724284351855417;0.9992124243808795;0.9631295037402026;0.9960427442041728;0.9859817785533929
original_glszm_LargeAreaEmphasis;0.970660891490688;0.9996779125118489;0.9760130147745807;0.9962686790264164;0.9856603654246975
wavelet-HH_glrlm_GrayLevelNonUniformityNormalized;0.9461643472364758;0.995503464943659;0.9579832295005817;0.9855588682403795;0.9982163815261885
wavelet-HH_glszm_ZonePercentage;0.9723729111021663;0.9956919045593977;0.9501805114792068;0.9855252509478802;0.9980543974984699
wavelet-HH_glrlm_RunLengthNonUniformityNormalized;0.9750376850441158;0.9969034309267037;0.957296216087769;0.9853764644935994;0.9982684442396743
wavelet-HH_glcm_JointEntropy;0.9189048755002818;0.9965047002806535;0.9734297687751651;0.9851958153053466;0.9985570356209446
wavelet-HH_glcm_DifferenceAverage;0.9808121856186005;0.9982877956566912;0.9812454883471384;0.9851836312399308;0.9951970772799054
wavelet-HH_firstorder_Entropy;0.957613847318618;0.9974027093380823;0.9773872570741422;0.9850526440578788;0.9979150865571784
original_gldm_SmallDependenceEmphasis;0.9485540681779017;0.9924643317811601;0.9256477371034422;0.9849069439258156;0.996298132074494
wavelet-HH_firstorder_RobustMeanAbsoluteDeviation;0.9598754354927768;0.999026631224142;0.9611749568889358;0.9843872096418156;0.9975431237995578
wavelet-LH_gldm_SmallDependenceEmphasis;0.9544132987581131;0.9948768599114852;0.9185576666263869;0.9843739640179756;0.9965868480810607
wavelet-LH_glrlm_GrayLevelNonUniformityNormalized;0.803359460196869;0.9914412245294195;0.8947005747088486;0.9842162960691576;0.9976105675102639
wavelet-HL_gldm_SmallDependenceEmphasis;0.9512337600891723;0.9947734403297013;0.9166650541862424;0.9839852692129345;0.9962054320226392
